title,company,location,salary,url,date_posted,description,skills,source
Data Analyst,"FTS, Inc.",United States,,https://www.linkedin.com/jobs/view/data-analyst-at-fts-inc-4236199479?position=36&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=YBPoQx%2Ff9JVYdIw9VTruUQ%3D%3D,1 day ago,,,LinkedIn
Data Analyst,Monzo Bank,"San Francisco, CA",,https://www.linkedin.com/jobs/view/data-analyst-at-monzo-bank-4233942918?position=37&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=9kc3mwwNwRXdRqbCX2zVDQ%3D%3D,1 day ago,,,LinkedIn
Fraud Data Analyst,Sony Interactive Entertainment,"San Mateo, CA",,https://www.linkedin.com/jobs/view/fraud-data-analyst-at-sony-interactive-entertainment-4226035874?position=38&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=EBigmTYSTNHn4u3ZDQa6ig%3D%3D,1 week ago,,,LinkedIn
Data Analyst,CGI,United States,,https://www.linkedin.com/jobs/view/data-analyst-at-cgi-4226605444?position=39&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=nckX0Etk%2B8JSyeCUgXAdZg%3D%3D,2 weeks ago,,,LinkedIn
Data Analyst,Thryv,United States,,https://www.linkedin.com/jobs/view/data-analyst-at-thryv-4234415909?position=40&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=4hz5mQoymmXZL4dI6bi%2Fsg%3D%3D,3 days ago,,,LinkedIn
Data Analyst - People Analytics (Short-Term Employment),Meta,"New York, NY",,https://www.linkedin.com/jobs/view/data-analyst-people-analytics-short-term-employment-at-meta-4232509091?position=41&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=ZJ26AZz5wscG%2BJXcEIVrvg%3D%3D,3 days ago,,,LinkedIn
Data Analyst,"Securitas Security Services USA, Inc.",United States,,https://www.linkedin.com/jobs/view/data-analyst-at-securitas-security-services-usa-inc-4236418233?position=42&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=84cNjq7B29DivISD9SHZxw%3D%3D,1 day ago,,,LinkedIn
Data Analyst,Elder Research,"Arlington, VA",,https://www.linkedin.com/jobs/view/data-analyst-at-elder-research-4228545027?position=43&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=ilNS3C%2F7W5SNITU%2FM0Bofw%3D%3D,1 week ago,,,LinkedIn
Data Analyst,City of New York,"Manhattan, NY",,https://www.linkedin.com/jobs/view/data-analyst-at-city-of-new-york-4229441539?position=44&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=eTV9sRHqaHYVY7dsU4NINw%3D%3D,1 week ago,,,LinkedIn
Business Intelligence Analyst,H&H,"New York, NY",,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-h-h-4228897176?position=45&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=nO7NZhlsD3QGZdTZC86PwA%3D%3D,1 week ago,,,LinkedIn
Junior Data Analyst,MJH Life Sciences®,United States,,https://www.linkedin.com/jobs/view/junior-data-analyst-at-mjh-life-sciences%C2%AE-4226450702?position=46&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=byuvgzZZNjdf8XhX4%2B65GA%3D%3D,1 week ago,,,LinkedIn
Business Data Analyst,ImpetusIT,"Austin, TX",,https://www.linkedin.com/jobs/view/business-data-analyst-at-impetusit-4227683851?position=47&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=25nuZe7%2FYRNmzy4lOoblEw%3D%3D,1 week ago,,,LinkedIn
BI / Data Analyst,Kforce Inc,"Cornelius, NC",,https://www.linkedin.com/jobs/view/bi-data-analyst-at-kforce-inc-4231017614?position=48&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=nKwEcf6Jb0pkuAAiRjlMQQ%3D%3D,1 week ago,,,LinkedIn
Data Analyst,"Conde Group, Inc.","Oakland, CA",,https://www.linkedin.com/jobs/view/data-analyst-at-conde-group-inc-4224677842?position=49&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=ckyssbTUhDOmAeh%2F3RmfJg%3D%3D,2 weeks ago,,,LinkedIn
Data Analyst,Alivi,"Miami, FL",,https://www.linkedin.com/jobs/view/data-analyst-at-alivi-4231480871?position=50&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=NocBaT1kwCA24yK2GY1ZTw%3D%3D,4 days ago,,,LinkedIn
